,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
112,7126,2,0,14,0,1738636344,False,IN_SERVICE,1,1,1,,2,0
113,7127,0,0,15,0,1738636504,False,IN_SERVICE,1,1,1,,0,0
114,7128,0,0,23,0,1738636485,False,IN_SERVICE,1,1,1,,0,0
115,7129,1,0,9,1,1738636395,False,IN_SERVICE,1,1,1,,1,0
116,7130,1,0,13,0,1738636498,False,IN_SERVICE,1,1,1,,1,0
117,7131,0,0,15,0,1738636422,False,IN_SERVICE,1,1,1,,0,0
118,7132,1,0,7,1,1738636399,False,IN_SERVICE,1,1,1,,0,1
119,7133,0,0,11,0,1738636336,False,IN_SERVICE,1,1,1,,0,0
120,7135,6,1,24,0,1738636418,False,IN_SERVICE,1,1,1,,6,0
121,7137,1,0,14,0,1738636339,False,IN_SERVICE,1,1,1,,1,0
122,7138,5,1,21,0,1738636368,False,IN_SERVICE,1,1,1,,5,0
123,7139,0,0,14,1,1738636476,False,IN_SERVICE,1,1,1,,0,0
124,7140,0,0,15,0,1738636437,False,IN_SERVICE,1,1,1,,0,0
125,7141,0,0,15,0,1738636470,False,IN_SERVICE,1,1,1,,0,0
126,7142,0,1,14,0,1738636367,False,IN_SERVICE,1,1,1,,0,0
127,7143,1,0,14,0,1738636373,False,IN_SERVICE,1,1,1,,1,0
128,7144,5,0,10,0,1738636489,False,IN_SERVICE,1,1,1,,5,0
129,7146,10,2,7,0,1738636479,False,IN_SERVICE,1,1,1,,10,0
130,7147,11,0,4,0,1738636449,False,IN_SERVICE,1,1,1,,11,0
131,7148,9,1,13,0,1738636372,False,IN_SERVICE,1,1,1,,9,0
132,7149,4,3,4,0,1738636384,False,IN_SERVICE,1,1,1,,3,1
133,7150,6,0,13,0,1738636330,False,IN_SERVICE,1,1,1,,6,0
134,7151,3,0,16,0,1738636453,False,IN_SERVICE,1,1,1,,2,1
135,7152,1,1,9,0,1738636402,False,IN_SERVICE,1,1,1,,1,0
136,7153,1,2,13,1,1738636399,False,IN_SERVICE,1,1,1,,1,0
137,7154,2,0,21,0,1738636496,False,IN_SERVICE,1,1,1,,2,0
138,7155,0,0,19,0,1738636355,False,IN_SERVICE,1,1,1,,0,0
139,7156,2,4,9,0,1738636388,False,IN_SERVICE,1,1,1,,2,0
140,7157,1,1,20,1,1738636329,False,IN_SERVICE,1,1,1,,1,0
141,7158,1,0,13,1,1738636343,False,IN_SERVICE,1,1,1,,1,0
142,7160,8,0,10,0,1738636339,False,IN_SERVICE,1,1,1,,8,0
143,7161,13,0,10,0,1738636354,False,IN_SERVICE,1,1,1,,13,0
144,7162,13,1,9,0,1738636436,False,IN_SERVICE,1,1,1,,13,0
145,7163,10,0,5,0,1738636339,False,IN_SERVICE,1,1,1,,10,0
146,7164,16,1,6,0,1738636446,False,IN_SERVICE,1,1,1,,16,0
147,7168,38,0,7,0,1738636440,False,IN_SERVICE,1,1,1,,38,0
148,7169,3,0,8,0,1738636479,False,IN_SERVICE,1,1,1,,3,0
149,7170,8,0,7,0,1738636509,False,IN_SERVICE,1,1,1,,8,0
150,7171,9,1,15,0,1738636491,False,IN_SERVICE,1,1,1,,9,0
151,7172,12,1,6,0,1738636366,False,IN_SERVICE,1,1,1,,12,0
152,7173,3,1,15,0,1738636342,False,IN_SERVICE,1,1,1,,3,0
153,7174,8,0,7,0,1738636339,False,IN_SERVICE,1,1,1,,8,0
154,7175,13,2,12,0,1738636485,False,IN_SERVICE,1,1,1,,13,0
155,7176,4,2,12,1,1738636505,False,IN_SERVICE,1,1,1,,4,0
156,7178,6,1,7,0,1738636395,False,IN_SERVICE,1,1,1,,6,0
157,7180,10,0,12,0,1738636494,False,IN_SERVICE,1,1,1,,10,0
158,7181,3,0,11,1,1738636484,False,IN_SERVICE,1,1,1,,3,0
159,7182,5,0,14,0,1738636449,False,IN_SERVICE,1,1,1,,5,0
160,7183,5,0,10,0,1738636407,False,IN_SERVICE,1,1,1,,4,1
161,7184,2,2,7,0,1738636446,False,IN_SERVICE,1,1,1,,2,0
162,7188,1,1,13,0,1738636374,False,IN_SERVICE,1,1,1,,1,0
163,7189,3,0,10,1,1738636379,False,IN_SERVICE,1,1,1,,3,0
164,7190,0,0,11,0,1738636478,False,IN_SERVICE,1,1,1,,0,0
165,7191,2,0,9,0,1738636422,False,IN_SERVICE,1,1,1,,2,0
166,7192,0,1,14,0,1738636365,False,IN_SERVICE,1,1,1,,0,0
167,7193,4,0,11,0,1738636459,False,IN_SERVICE,1,1,1,,4,0
168,7194,6,1,16,0,1738636357,False,IN_SERVICE,1,1,1,,6,0
169,7195,2,1,8,0,1738636355,False,IN_SERVICE,1,1,1,,2,0
170,7196,1,0,9,0,1738636347,False,IN_SERVICE,1,1,1,,1,0
171,7197,10,1,0,0,1738636435,False,IN_SERVICE,1,1,1,,10,0
172,7198,8,1,8,0,1738636371,False,IN_SERVICE,1,1,1,,8,0
173,7199,5,0,12,1,1738636448,False,IN_SERVICE,1,1,1,,4,1
174,7202,12,0,11,0,1738636386,False,IN_SERVICE,1,1,1,,12,0
175,7203,20,1,13,0,1738636455,False,IN_SERVICE,1,1,1,,20,0
176,7204,12,0,7,0,1738636434,False,IN_SERVICE,1,1,1,,12,0
177,7205,7,0,8,0,1738636503,False,IN_SERVICE,1,1,1,,7,0
178,7206,11,1,0,0,1738636333,False,IN_SERVICE,1,1,1,,10,1
179,7207,3,1,43,0,1738636454,False,IN_SERVICE,1,1,1,,3,0
180,7208,3,0,12,0,1738636458,False,IN_SERVICE,1,1,1,,3,0
